word,translation,ipa,example,exampleTranslation,level,topic
open,открытый,/ˈoʊpən/,The door is open.,Дверь открыта,A2,Описания
open — opened,открывать,/ˈoʊpən/,"Open the window, please.","Открой окно, пожалуйста.",A1,Действия
open — opened,начинать,/ˈoʊpən/,Open the meeting.,"Давайте, начнем совещание.",A2,Деньги и работа
opera,опера,/ˈɑprə/,We went to the opera last night.,Мы ходили в оперу прошлым вечером.,A2,Места
opportunity,возможность,/ˌɒpəˈtjuːnɪti/,A great opportunity for growth.,,B1,Работа
opposite,напротив,/ˈɑpəzɪt/,My house is opposite the park.,Мой дом напротив парка,A2,Описания
or,или,/ər/,Tea or coffee?,Чай или кофе?,A1,Служебные слова
or,ни... ни,/ər/,He didn't call or write.,Он не позвонил и не написал,A2,Служебные слова
or not,или нет,/ər nɑt/,Are you coming or not?,Ты идёшь или нет?,A2,Общение
or something (like that),или что-то такое,/ər ˈsəmθɪŋ/,Coffee or something like that?,Кофе или что-то в этом роде?,A2,Общение
orange,апельсин,/ˈɑr.ɪndʒ/,Do you want some oranges?,Хочешь апельсинов?,A1,Еда
,,,,,,
orange,оранжевый цвет,/ˈɔrɪnʤ/,Orange is a bright color.,Оранжевый — яркий цвет,A2,Описания
,,,,,,
other,другой,/ˈəðər/,I have no other choice.,У меня нет другого выбора,A1,Описания
other,"другой, иной",/ˈəðər/,Give me the other pen.,Дай мне другую ручку,A2,Описания
our,наш,/ɑr/,Our school is big.,Наша школа большая,A1,Местоимения
ours,наш (притяжат.),/ɑrz/,This house is ours.,Этот дом наш,A2,Местоимения
ourselves,"себя, сами (о нас)",/ɑrˈsɛlvz/,We enjoyed ourselves.,Мы отлично провели время,A2,Местоимения
out,"нет дома, вне",/aʊt/,She's out of the office.,Её нет в офисе,A2,Описания
out of,из (движение наружу),/aʊt əv/,He came out of the house.,Он вышел из дома,A2,Описания
out of (something),из (чего-то),/əv ˈsəmθɪŋ/,He came out of the house.,Он вышел из дома,A2,Служебные слова
out of season,не в сезон,/ˌɑʊt̬.əv ˈsiː.zən/,Strawberries are out of season now.,Клубника сейчас не в сезоне.,C1,Еда
outside,снаружи,/ˌaʊtˈsaɪd/,Let's go outside.,Пойдём на улицу,A1,Служебные слова
outside,"снаружи, за пределами",/ˌaʊtˈsaɪd/,Outside the city.,За городом,A2,Описания
oven,духовка,/ˈʌv.ən/,Preheat the oven to 200°C.,Разогрей духовку до 200 °C.,B1,Еда
over,"больше чем, свыше",/ˈoʊvər/,Over 100 people came.,Пришло более 100 человек,A2,Описания
own,"свой, собственный",/oʊn/,My own house.,Мой собственный дом,A2,Описания
p.m.,после полудня (p.m.),/ˌpiˈɛm/,The meeting is at four p.m.,Встреча в четыре часа дня.,A1,Время
pack — packed,"упаковывать, паковать",/pæk/,Pack your bag for the trip.,Собери сумку в поездку.,A2,Путешествие
page,страница,/peɪʤ/,Open the book on page five.,Откройте книгу на пятой странице.,A1,Учеба
page,страница (веб),/peɪʤ/,Visit our web page.,Посетите нашу веб-страницу,A2,Технологии
pain,боль,/peɪn/,I feel pain in my knee.,Я чувствую боль в колене,A2,Тело и здоровье
paint,краска,/peɪnt/,The paint is still wet.,Краска ещё влажная.,A1,Хобби и спорт
paint — painted,рисовать,/peɪnt/,I love to paint.,Я люблю рисовать красками.,A1,Хобби и спорт
paint — painted,"красить, окрашивать",/peɪnt/,We paint the walls white.,Мы красим стены в белый цвет.,A2,Дом
painter,художник,/ˈpeɪnər/,Picasso was a famous painter.,Пикассо был известным художником,A2,Профессия
painting,"живопись, картина",/ˈpeɪnɪŋ/,I love painting.,Я люблю живопись / рисование.,A2,Хобби и спорт
pair,пара,/pɛr/,A pair of shoes.,Пара обуви,A2,Описания
pajamas,пижама,/pəˈʤɑməz/,He's in his pajamas.,Он в пижаме,A2,Одежда
pale blue,бледно-голубой,/peɪl blu/,She has pale blue eyes.,У неё бледно-голубые глаза,A2,Описания
pale green,бледно-зелёный,/peɪl grin/,The walls are pale green.,Стены бледно-зелёные,A2,Описания
pale yellow,бледно-жёлтый,/peɪl ˈjɛloʊ/,A pale yellow dress.,Бледно-жёлтое платье,A2,Описания
pan,"сковорода (кастрюлька, противень)",/pæn/,Fry the onions in a shallow pan.,Поджарьте лук на сковороде с низкими бортиками.,B1,Еда
pan,форма для выпечки,/pæn/,She greased the baking pan before pouring in the cake batter.,"Она смазала форму для выпечки перед тем, как вылить тесто для торта.",B2,Еда
pancake,блин,/ˈpæn.keɪk/,We had pancakes with maple syrup,Мы ели блины с кленовым сиропом.,B2,Еда
pants,"штаны, брюки",/pænts/,These pants are too big.,Эти штаны слишком велики,A1,Одежда
paper,бумага,/ˈpeɪpər/,I need some paper.,Мне нужна бумага,A1,Описания
parent,родитель,/ˈpɛrənt/,My parents live in Moscow.,Мои родители живут в Москве,A1,Семья
park,парк,/pɑrk/,Let's go to the park.,Пойдём в парк,A1,Природа
park,парковаться,/pɑrk/,Park your car here.,Припаркуй свою машину здесь,A2,Транспорт
parking lot,"парковка, автостоянка",/ˈpɑrkɪŋ lɔt/,The parking lot is full.,Стоянка заполнена,A2,Транспорт
part,часть,/pɑrt/,Please read this part.,"Пожалуйста, прочитай эту часть",A1,Описания
part of something,часть чего-то,/pɑrt əv ˈsəmθɪŋ/,A part of the story.,Часть истории,A2,Описания
partner,партнёр,/ˈpɑrtnər/,My business partner is here.,Мой деловой партнёр здесь,A2,Отношения
party,"вечеринка, праздник",/ˈpɑrti/,We had a big party last night.,У нас вчера была большая вечеринка,A1,Общение
pass,сдать (экзамен),/pæs/,I passed the exam.,Я сдал экзамен,A2,Учеба
passenger,пассажир,/ˈpæsənʤər/,The bus has many passengers.,В автобусе много пассажиров,A2,Транспорт
passport,паспорт,/ˈpæˌspɔrt/,Show me your passport.,Покажи свой паспорт,A2,Транспорт
past,"прошлое, после (время)",/pæst/,It's ten past three.,Десять минут четвёртого,A1,Служебные слова
past,"мимо, за (место)",/pæst/,Walk past the bank.,Пройди мимо банка,A2,Описания
pasta,"паста, макароны",/ˈpɑs.tə/,I'd like pasta with tomato sauce.,Я хочу пасту с томатным соусом.,A2,Еда
,,,,,,
pastry,"пирожное, выпечка",/ˈpeɪ.stri/,We had coffee and pastries,Мы пили кофе с выпечкой.,C1,Еда
pastry,тесто для выпечки,/ˈpeɪ.stri/,I made some pastry for the pie,Я приготовила тесто для пирога.,C1,Еда
path,"тропа, тропинка",/pæθ/,Follow the path.,Следуй по тропинке,A2,Транспорт
pay,платить,/peɪ/,Can I pay by card?,Можно заплатить картой?,A1,Покупки
PC,компьютер (ПК),/ˌpiˈsi/,My PC is very fast.,Мой ПК очень быстрый,A2,Технологии
pea,горошек,/piː/,She added green peas to the salad.,Она добавила в салат зеленый горошек.,B1,Еда
peach,персик,/piːtʃ/,Would you like peaches and cream for dessert?,Хотите персики со сливками на десерт?,B1,Еда
peak season,высокий сезон,/piːk ˈsiːzən/,Prices double during peak season.,,S,Туризм
peanut,арахис,/ˈpiː.nʌt/,I'm allergic to peanuts.,У меня аллергия на арахис.,B1,Еда
pear,груша,/per/,I had a pear for snack.,Я съел грушу на десерт.,A2,Еда
,,,,,,
pen,ручка,/pɛn/,I need a pen to write.,"Мне нужна ручка, чтобы писать",A1,Общение
pen pal,друг по переписке,/pɛn pæl/,My pen pal lives in Japan.,Мой друг по переписке живёт в Японии,A2,Отношения
pencil,карандаш,/ˈpɛnsəl/,Can I borrow your pencil?,Можно одолжить твой карандаш?,A1,Общение
people,люди,/ˈpipəl/,Many people live in big cities.,Многие люди живут в больших городах.,A1,Люди
pepper,перец (молотый),/ˈpep.ər/,I add freshly ground black pepper to the meat.,Я добавляю к мясу свежемолотый черный перец.,A2,Еда
pepper,перец (овощ),/ˈpep.ər/,Do you like bell peppers?,Вы любите болгарский перец?,B1,Еда
,,,,,,
per,за (период),/pər/,Twice per week.,Два раза в неделю,A2,Служебные слова
perfect,идеальный,/ˈpərˌfɪkt/,The weather is perfect.,Погода прекрасная,A2,Описания
perfume,духи,/pərfˈjum/,Her perfume is nice.,Её духи приятные.,A2,Люди
perhaps,возможно,/pərˈhæps/,Perhaps you're right.,"Возможно, ты прав",A2,Общение
pernicious,пагубный,/pəˈnɪʃəs/,A pernicious influence on youth.,,C2,Политика
person,человек,/ˈpərsən/,She is a nice person.,Она хорошая / милая женщина.,A1,Люди
perspective,точка зрения,/pəˈspɛktɪv/,Try a different perspective.,,B2,Абстрактные
pet,домашнее животное,/pɛt/,I have a pet dog.,У меня есть домашняя собака,A1,Природа
phone,телефон,/foʊn/,The phone is ringing.,Телефон звонит,A1,Технологии
photo,фотография,/ˈfoʊˌtoʊ/,I took a photo of the sunset.,Я сделал фото заката.,A1,Хобби и спорт
photograph,фотография,/ˈfoʊtəˌgræf/,This is a beautiful photograph.,Это красивая фотография,A2,Хобби и спорт
photographer,фотограф,/fəˈtɑgrəfər/,He's a famous photographer.,Он известный фотограф,A2,Профессия
photography,фотография (искусство),/fəˈtɑgrəfi/,Photography is my hobby.,Фотография — моё хобби,A2,Хобби и спорт
physics,физика,/ˈfɪzɪks/,Physics is interesting.,Физика интересна,A2,Учеба
piano,пианино,/piˈænə/,She plays the piano well.,Она хорошо играет на пианино,A2,Хобби и спорт
pick up somebody,"забрать, поднять кого-то",/pɪk əp ˈsəmˌbɑdi/,I'll pick up the kids at 5.,Я заберу детей в пять,A2,Фразовые глаголы
picnic,пикник,/ˈpɪk.nɪk/,A picnic in the park is a good idea.,Пикник в парке - хорошая идея.,A1,Еда
,,,,,,
picture,"картина, рисунок",/ˈpɪkʧər/,The picture is very beautiful.,Картина очень красивая,A1,Искусство
pie,пирог,/pɑɪ/,Would you like some more apple pie?,Хотите ещё яблочного пирога?,B1,Еда
piece,"кусок, часть",/pis/,A piece of cake.,Кусок торта,A2,Описания
pig,свинья,/pɪg/,The pig is pink.,Свинья розовая,A1,Природа
pillow,подушка,/ˈpɪloʊ/,The pillow is soft.,Подушка мягкая.,A2,Дом
pilot,пилот,/ˈpaɪlət/,The pilot is flying the plane.,Пилот управляет самолётом,A2,Профессия
pineapple,ананас,/ˈpɑɪˌnæp.əl/,We ate some slices of pineapple.,Мы съели несколько кусочков ананаса.,B1,Еда
pink,розовый,/pɪŋk/,She wears a pink dress.,Она носит розовое платье,A2,Описания
pit,косточка (фрукта),/pɪt/,Be careful — there's a pit in the cherry.,Осторожно — в вишне косточка.,C2,Еда
pizza,пицца,/ˈpiːt.sə/,I will have a slice of pizza.,Я буду кусок пиццы.,A1,Еда
,,,,,,
place,место,/pleɪs/,This is a nice place.,Это хорошее место,A1,Природа
place,"дом, жилище",/pleɪs/,Come over to my place.,Приходи ко мне домой.,A2,Дом
plan,"план, замысел",/plæn/,What's your plan?,Какой у тебя план?,A2,Общение
plan to do something,планировать сделать,/plæn tɪ du ˈsəmθɪŋ/,I plan to visit Moscow.,Я планирую посетить Москву.,A2,Путешествие
plane,самолёт,/pleɪn/,The plane leaves at ten.,Самолёт вылетает в десять,A1,Транспорт
plant,растение,/plænt/,I water my plants.,Я поливаю свои растения,A1,Природа
plastic,пластик / пластиковый,/ˈplæstɪk/,A plastic bag.,Пластиковый пакет,A2,Описания
plate,тарелка,/pleɪt/,There's still lots of food on your plate.,У тебя на тарелке ещё много еды.,A1,Еда
,,,,,,
platform,платформа,/ˈplætˌfɔrm/,The train is on platform 3.,Поезд находится на третьей платформе,A2,Транспорт
play,пьеса,/pleɪ/,We saw a great play.,Мы посмотрели отличную пьесу,A2,Искусство
play,играть (на инстр.),/pleɪ/,He plays the piano.,Он играет на пианино,A2,Хобби и спорт
play — played,играть (дети),/pleɪ/,Children play in the park.,Дети играют в парке.,A1,Действия
play — played,играть (спорт),/pleɪ/,He plays football.,Он играет в футбол.,A1,Хобби и спорт
player,игрок,/pleɪər/,He is a good player.,Он хороший игрок,A1,Хобби и спорт
playground,детская площадка,/ˈpleɪˌgraʊnd/,Kids love the playground.,Дети любят игровую площадку,A2,Места
pleasant,приятный,/ˈplɛzənt/,It was a pleasant evening.,Был приятный вечер,A2,Описания
please,пожалуйста,/pliz/,"Close the door, please.","Закрой дверь, пожалуйста",A1,Общение
pleased,довольный,/plizd/,I'm pleased to meet you.,Я рад познакомиться,A2,Эмоции
pleased to meet you,приятно познакомиться,/plizd tɪ mit ju/,"Pleased to meet you, John.","Приятно познакомиться, Джон",A2,Общение
plural,множественное число,/ˈplʊrəl/,Cats is plural.,«Cats» — это множественное число,A2,Общение
plus,плюс,/pləs/,Two plus two is four.,Два плюс два равно четыре,A2,Служебные слова
pocket,карман,/ˈpɑkət/,Keys are in my pocket.,Ключи в моём кармане,A2,Одежда
point — pointed,показывать пальцем,/pɔɪnt/,Don't point at people.,Не показывай пальцем на людей.,A2,Общение
police,полиция,/pəˈlis/,Call the police!,Вызовите полицию!,A2,Общение
police officer,полицейский,/pəˈlis ˈɔfɪsər/,The police officer helped us.,Полицейский помог нам,A2,Профессия
police station,полицейский участок,/pəˈlis ˈsteɪʃən/,The police station is near.,Полицейский участок рядом,A2,Места
policeman,полицейский,/pəˈlismən/,Ask the policeman.,Спросите полицейского,A2,Профессия
policewoman,женщина-полицейский,/pəˈlisˌwʊmən/,The policewoman is kind.,Полицейская добрая,A2,Профессия
polite,вежливый,/pəˈlaɪt/,Be polite to everyone.,Будь вежлив со всеми,A2,Эмоции
pool,бассейн,/pul/,The pool is big.,Бассейн большой,A2,Хобби и спорт
poor,бедный,/pur/,He was poor as a child.,В детстве он был бедным.,A1,Деньги и работа
poor,"бедный, бедняжка",/pur/,"Poor Tom, he's sick.","Бедный Том, он болен",A2,Эмоции
pop,поп-музыка,/pɑp/,Pop music is very popular.,Поп-музыка очень популярна,A2,Музыка
popular,популярный,/ˈpɑpjələr/,She's very popular.,Она очень популярна,A2,Описания
pork,свинина,/pɔːrk/,We're having roast pork for dinner.,На ужин у нас запечённая свинина.,B1,Еда
portion,порция еды,/ˈpɔːr.ʃən/,The portions are very generous in this restaurant,Порции в этом ресторане очень щедрые.,B2,Еда
possible,возможный,/ˈpɑsəbəl/,Is it possible to come?,Можно прийти?,A1,Описания
possibly,возможно,/ˈpɑsəbli/,I might possibly come.,"Я, возможно, приду",A2,Общение
post office,почтовое отделение,/poʊst ˈɔfəs/,I need to go to the post office.,Мне нужно на почту,A2,Места
postcard,открытка,/ˈpoʊˌskɑrd/,She sent me a postcard.,Она прислала мне открытку,A2,Общение
poster,плакат,/ˈpoʊstər/,There is a poster on the wall.,На стене висит плакат,A2,Дом
pot,кастрюля,/pɑt/,The stew is simmering in a large cooking pot.,Рагу томится в большой кастрюле.,B1,Еда
potato,картофель,/pəˈteɪt̬.oʊ/,I love fried potatoes.,Я люблю жаренный картофель.,A1,Еда
,,,,,,
potato chip,чипсы,/pəˈteɪt̬.oʊˌtʃɪp/,I opened a bag of potato chips to snack on.,"Я открыл пакет чипсов, чтобы перекусить.",A2,Еда
,,,,,,
practice,"практика, тренировка сущ.",/ˈpræktɪs/,Practice makes perfect.,Практика совершенствует.,A2,Свой путь
practice — practiced,практиковать гл.,/ˈpræktɪs/,I practice English every day.,Я практикую английский каждый день.,A1,Учеба
pray,молиться,/preɪ/,She prays every day.,Она молится каждый день,A2,Общение
prefer,предпочитать,/prɪˈfər/,I prefer tea to coffee.,Я предпочитаю чай кофе,A2,Эмоции
prepare — prepared,"готовить, подготавливать",/priˈpɛr/,Prepare for the test.,Подготовься к тесту.,A2,Учеба
present,подарок,/ˈprɛzənt/,A birthday present.,Подарок на день рождения,A2,Общение
president,президент,/ˈprɛzɪdənt/,The president made a speech.,Президент выступил с речью,A2,Политика
pretty,"красивая, хорошенькая",/ˈprɪti/,She is a pretty girl.,Она красивая девушка.,A2,Люди
price,цена,/praɪs/,The price is too high.,Цена слишком высокая.,A2,Покупки
principal,директор (школы),/ˈprɪnsəpəl/,The principal called us.,Директор вызвал нас,A2,Учеба
print,печатать (на принтере),/prɪnt/,"Print this page, please.","Распечатай эту страницу, пожалуйста",A2,Общение
printer,принтер,/ˈprɪnər/,The printer is out of paper.,В принтере закончилась бумага,A2,Технологии
prize,"приз, награда",/praɪz/,She won first prize.,Она выиграла первый приз,A2,Хобби и спорт
probably,вероятно,/ˈprɑbəˌbli/,He probably knows.,"Он, вероятно, знает",A2,Общение
problem,проблема,/ˈprɑbləm/,I have a small problem.,У меня небольшая проблема,A1,Общение
program,"программа (ТВ, радио)",/ˈproʊˌgræm/,This is a good program.,Это хорошая программа,A2,Медиа
project,проект (учебный),/ˈprɑʤɛkt/,I have a school project.,У меня школьный проект,A2,Учеба
pudding,пудинг,/ˈpʊd.ɪŋ/,I made rice pudding for dessert,Я приготовила рисовый пудинг на десерт.,A2,Еда
pull — pulled,тянуть (к себе),/pʊl/,Pull the door open.,"Потяни дверь, чтобы открыть.",A2,Дом
purple,"фиолетовый, пурпурный",/ˈpərpəl/,Purple is her favorite color.,Фиолетовый — её любимый цвет,A2,Описания
purse,"кошелёк, сумочка",/pərs/,My keys are in my purse.,Мои ключи в сумочке,A2,Одежда
push — pushed,толкать,/pʊʃ/,Push the button.,Нажми кнопку.,A2,Дом
put,"написать, указать",/pʊt/,Put your name here.,Напиши своё имя здесь,A2,Общение
put on something or put something on,"надеть, включить",/pʊt ɔn ˈsəmθɪŋ ər pʊt ˈsəmθɪŋ ɔn/,Put on your shoes.,Надень обувь,A2,Фразовые глаголы
put something down,"положить, поставить",/pʊt ˈsəmθɪŋ daʊn/,Put the book down.,Положи книгу,A1,Фразовые глаголы
put something in,положить внутрь,/pʊt ˈsəmθɪŋ ɪn/,Put the food in the bag.,Положи еду в сумку,A1,Фразовые глаголы
put something on,"надевать, включать",/pʊt ˈsəmθɪŋ ɔn/,Put your shoes on.,Надень обувь,A1,Фразовые глаголы
puzzle,"пазл, головоломка",/ˈpəzəl/,This puzzle is hard.,Эта головоломка сложная,A2,Хобби и спорт
quarter,четверть,/ˈkwɔrtər/,It's a quarter to five.,Без четверти пять.,A1,Время
quarter,четверть (часть),/ˈkwɔrtər/,A quarter of the pie.,Четверть пирога,A2,Описания
queen,королева,/kwin/,The queen is visiting.,Королева наносит визит,A2,Политика
question,вопрос,/ˈkwɛsʧən/,I have one question.,У меня один вопрос,A1,Общение
question,вопрос (на экзамене),/ˈkwɛsʧən/,Answer all questions.,Ответьте на все вопросы,A2,Учеба
quick,быстрый,/kwɪk/,He is a quick runner.,Он быстро бегает,A1,Описания
quick,быстрый,/kwɪk/,A quick lunch.,Быстрый обед,A2,Описания
quickly,быстро,/ˈkwɪkli/,Come here quickly!,Иди сюда быстро!,A2,Описания
quiet,"тихий, спокойный",/kwaɪət/,A quiet evening at home.,Тихий вечер дома,A2,Описания
quintessential,квинтэссенциальный,/ˌkwɪntɪˈsɛnʃəl/,The quintessential English gentleman.,,C2,Абстрактные
quite,"вполне, довольно",/kwaɪt/,It's quite cold today.,Сегодня довольно холодно,A2,Описания
quite a few,довольно много,/kwaɪt ə fju/,Quite a few people came.,Довольно много людей пришло,A2,Описания
quiz,викторина,/kwɪz/,Let's do a quiz!,Давайте проведём викторину!,A2,Хобби и спорт
rabbit,кролик,/ˈræbɪt/,The rabbit eats carrots.,Кролик ест морковь.,A2,Животные
race,"гонка, забег",/reɪs/,He won the race.,Он выиграл гонку,A2,Хобби и спорт
racket,ракетка,/ˈrækɪt/,I need a new tennis racket.,Мне нужна новая теннисная ракетка,A2,Хобби и спорт
railroad,железная дорога,/ˈreɪˌlroʊd/,The railroad goes through the forest.,Железная дорога проходит через лес,A2,Транспорт
rain,дождь,/reɪn/,I like the sound of rain.,Мне нравится звук дождя,A1,Природа
raincoat,"плащ, дождевик",/ˈreɪnˌkoʊt/,Take your raincoat.,Возьми свой плащ,A2,Одежда
rap,рэп,/ræp/,He loves rap music.,Он любит рэп,A2,Музыка
rare,с кровью (о мясе),/rer/,"I would like my steak rare, please.","Я бы хотел мой стейк слабой прожарки (с кровью), пожалуйста.",C1,Еда
rat,крыса,/ræt/,There is a rat in the garden.,В саду крыса.,A2,Животные
raw,сырой (необработанный),/rɔː/,I never eat raw fish.,Я никогда не ем сырую рыбу.,B1,Еда
read,читать,/rɛd/,I read a book every night.,Я читаю книгу каждый вечер,A1,Общение
read,прочитать вслух,/rɛd/,Read the question again.,Прочитай вопрос ещё раз,A2,Общение
reading,чтение,/ˈrɛdɪŋ/,Reading is my hobby.,Чтение — моё хобби,A1,Общение
ready,готовый,/ˈrɛdi/,I am ready to go.,Я готов идти,A1,Описания
ready,"готовый, имеющийся",/ˈrɛdi/,Dinner is ready.,Ужин готов,A2,Описания
real,"настоящий, реальный",/ril/,Is this real gold?,Это настоящее золото?,A2,Описания
really,"действительно, очень",/ˈrɪli/,This cake is really good.,Этот торт действительно хорош,A1,Общение
really,"правда, действительно",/ˈrɪli/,I really like this song.,Мне очень нравится эта песня,A2,Общение
Really?,Правда? Неужели?,/ˈrɪli/,Really? I didn't know that.,Правда? Я этого не знал,A2,Общение
reason,причина,/ˈrizən/,What's the reason?,В чём причина?,A2,Общение
receipt,чек (квитанция),/rɪˈsit/,Keep the receipt.,Сохраните чек,A2,Покупки
receive — received,получать,/rɪˈsiv/,I received a letter today.,Я получил письмо сегодня.,A2,Действия
receptionist,"регистратор, администратор",/rɪˈsɛpʃənɪst/,The receptionist is helpful.,Администратор полезный,A2,Профессия
recipe,рецепт,/ˈres.ə.piː/,Can you send me the recipe?,Можешь прислать мне рецепт?,B1,Еда
record — recorded,записывать,/ˈrɛkərd/,Record the meeting.,Запиши речь.,A2,Действия
red,красный,/rɛd/,The red car.,,A1,Цвета
red,красный,/rɛd/,The red car.,Красная машина,A1,Цвета
,,,,,,
red,красный цвет,/rɛd/,Red is a warm color.,Красный — тёплый цвет,A2,Описания
red wine,красный (вино),/red/,We ordered a bottle of red wine,Мы заказали бутылку красного вина.,A2,Еда
refreshments,лёгкие закуски и напитки,/rɪˈfreʃ.mənts/,Refreshments are available in the lobby,В фойе есть лёгкие закуски и напитки.,B1,Еда
refrigerator,холодильник,/rɪˈfrɪʤərˌeɪtər/,The milk is in the refrigerator.,Молоко в холодильнике.,A1,Дом
regular,"обычный, регулярный",/ˈrɛgjələr/,A regular customer.,Постоянный клиент,A2,Описания
relish (SAUCE),"приправа, соус-релиш",/ˈrel.ɪʃ/,I like to eat hot dogs with mustard and relish.,Я люблю есть хот-доги с горчицей и пикантным соусом.,C2,Еда
remember — remembered,помнить,/rɪˈmɛmbər/,I remember her name.,Я помню её имя.,A1,Отношения
remember to do something,не забыть сделать,/rɪˈmɛmbər tɪ du ˈsəmθɪŋ/,Remember to call her.,Не забудь ей позвонить.,A2,Действия
rent,арендная плата,/rɛnt/,The rent is high.,Аренда дорогая.,A2,Деньги и работа
rent,брать напрокат,/rɛnt/,We rent a car for the trip.,Мы арендуем машину для поездки,A2,Путешествие
repair — repaired,"чинить, ремонтировать",/rɪˈpɛr/,I need to repair my bike.,Мне нужно починить велосипед.,A2,Действия
repeat,повторять,/rɪˈpit/,Please repeat the question.,"Пожалуйста, повтори вопрос",A2,Общение
report card,табель успеваемости,/rɪˈpɔrt kɑrd/,The report card came today.,Табель успеваемости пришёл сегодня,A2,Учеба
rest,отдых,/rɛst/,Have a good rest.,Хорошего отдыха.,A2,Путешествие
restaurant,ресторан,/ˈrɛˌstrɑnt/,Let's go to a restaurant.,Пойдём в ресторан,A1,Места
restroom,туалет (общественный),/ˈrɛˌstrum/,Where is the restroom?,Где туалет?,A2,Места
return — returned,"вернуть, положить обратно",/rɪˈtərn/,Return the book to the shelf.,Верни книгу на полку.,A2,Действия
rice,рис,/rɑɪs/,Do you prefer brown or white rice?,Ты предпочитаешь бурый или белый рис?,A1,Еда
,,,,,,
rich,"жирный, насыщенный (о еде)",/rɪtʃ/,This cake is too rich for me.,Этот торт для меня слишком тяжелый.,B2,Еда
rich,богатый,/rɪʧ/,He became rich last year.,В прошлом году он разбогател.,A2,Деньги и работа
ride,"ехать, кататься",/raɪd/,Can I ride with you?,Можно подъехать с тобой?,A2,Транспорт
ride — rode — ridden,ехать (верхом/велосипед),/raɪd/,I ride my bike to school.,Я езжу в школу на велосипеде.,A1,Транспорт
right,правильный,/raɪt/,Your answer is right.,Твой ответ верен,A1,Описания
right,"так, верно (в речи)",/raɪt/,"Right, let's begin.","Итак, давайте начнём",A2,Общение
right,правильно!,/raɪt/,Right! That's correct.,Правильно! Это верно,A2,Общение
right,"правый, направо",/raɪt/,Turn right at the light.,Поверни направо у светофора,A2,Описания
right now,"прямо сейчас, немедленно",/naʊ/,Do it right now!,Сделай это прямо сейчас!,A2,Время
right-hand,"правый, с правой стороны",/raɪˈthænd/,The right-hand side.,Правая сторона,A2,Описания
ring,кольцо,/rɪŋ/,She wears a gold ring.,У неё золотое кольцо,A2,Одежда
river,река,/ˈrɪvər/,The river is very long.,Река очень длинная,A1,Природа
Road,улица (Road),/roʊd/,The house is on Ocean Road.,Дом находится на Оушен-роуд,A1,Места
road,дорога,/roʊd/,This road is long.,Эта дорога длинная,A1,Транспорт
roast,"жареный, запечённый",/roʊst/,We had a delicious roast turkey with gravy.,У нас была восхитительная жареная индейка с подливкой.,A2,Еда
roast,"жарить, запекать",/roʊst/,Roast the vegetables for 35 minutes,Запекайте овощи 35 минут.,A2,Еда
,,,,,,
rock,рок-музыка,/rɑk/,I listen to rock music.,Я слушаю рок-музыку,A2,Музыка
roll,булочка,/roʊl/,I had a roll with my soup.,Я ел булочку с супом.,B1,Еда
roof,крыша,/rʊf/,The roof is red.,Крыша красная.,A2,Дом
room,комната,/ruːm/,This is my room.,,A1,Дом
room,комната,/ruːm/,This is my room.,Это моя комната.,A1,Дом
roommate,сосед по комнате,/ˈruˌmeɪt/,My roommate is quiet.,Мой сосед по комнате тихий,A2,Отношения
rotten,"гнилой, испорченный",/ˈrɑt.ən/,These apples are rotten.,Эти яблоки гнилые.,B2,Еда
round,круглый,/raʊnd/,The table is round.,Стол круглый,A2,Описания
rugby,регби,/ˈrəgbi/,Rugby is tough.,Регби — это жёсткий спорт,A2,Хобби и спорт
ruler,линейка,/ˈrulər/,Use a ruler to draw.,"Используй линейку, чтобы рисовать",A2,Учеба
run — ran — run,бежать,/rən/,I run every morning.,Я бегаю каждое утро.,A1,Хобби и спорт
runner,бегун,/ˈrənər/,She is a fast runner.,Она быстро бегает,A2,Хобби и спорт
running,бег (как спорт),/ˈrənɪŋ/,Running is good exercise.,Бег — это хорошее упражнение,A2,Хобби и спорт
sad,грустный,/sæd/,She is sad today.,Ей сегодня грустно,A1,Эмоции
safe,безопасный,/seɪf/,This place is safe.,Это место безопасно,A1,Описания
sailing,парусный спорт,/ˈseɪlɪŋ/,We go sailing on weekends.,Мы ходим под парусом по выходным,A2,Хобби и спорт
salad,салат,/ˈsæl.əd/,Would you like a salad with your main course?,Хотите салат к основному блюду?,A2,Еда
,,,,,,
salesperson,продавец,/ˈseɪlzˌpərsən/,The salesperson is helpful.,Продавец полезный,A2,Профессия
salt,соль,/sɔːlt/,"Pass the salt, please.","Передайте, пожалуйста, соль.",A1,Еда
,,,,,,
salty,солёный,/ˈsɔːl.ti/,Is the soup too salty?.,Суп слишком солёный?,B2,Еда
same,тот же самый,/seɪm/,We live in the same city.,Мы живём в одном городе,A1,Описания
sandwich,"бутерброд, сэндвич",/ˈsæn.dwɪtʃ/,I take a cheese sandwich for lunch.,Я беру бутерброд с сыром на обед.,A1,Еда
,,,,,,
Saturday,суббота,/ˈsæˌtɪˌdeɪ/,Let's go to the park on Saturday.,Давай пойдём в парк в субботу.,A1,Дни недели
sauce,соус,/sɔːs/,He dipped his sushi roll in soy sauce before taking a bite.,"Он обмакнул свой суши-ролл в соевый соус перед тем, как откусить.",A2,Еда
,,,,,,
